"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"NF1"	"SF3B1"	72	1	2	1	29.5881663890336	0.0778947368421053	3.38737449724075	1.10849188555787	1
"ETV6"	"IDH2"	64	2	8	2	7.62472928554094	0.0815721272822932	2.0313968183276	1.08845821177749	1
"IDH2"	"NOTCH1"	64	8	2	2	7.62472928554094	0.0815721272822931	2.0313968183276	1.08845821177749	1
"KRAS"	"TP53"	69	0	6	1	Inf	0.0921052631578948	Inf	1.03571555226653	1
"chr5loss"	"TP53"	69	0	6	1	Inf	0.0921052631578948	Inf	1.03571555226653	1
"ASXL1"	"NOTCH1"	63	9	2	2	6.70943043271267	0.0977844463064362	1.90351406402948	1.00973021904143	1
"EZH2"	"SRSF2"	71	3	1	1	20.6398056483941	0.103157894736842	3.02722152430905	0.986497529596353	1
"NRAS"	"U2AF2"	71	3	1	1	20.6398056483941	0.103157894736842	3.02722152430905	0.986497529596353	1
"NOTCH1"	"SRSF2"	71	3	1	1	20.6398056483941	0.103157894736842	3.02722152430905	0.986497529596353	1
"EZH2"	"ZRSR2"	71	3	1	1	20.6398056483941	0.103157894736842	3.02722152430905	0.986497529596353	1
"NOTCH1"	"ZRSR2"	71	3	1	1	20.6398056483941	0.103157894736842	3.02722152430905	0.986497529596353	1
"NF1"	"NOTCH1"	71	1	3	1	20.639805648394	0.103157894736842	3.02722152430905	0.986497529596353	1
"chr11qdel"	"NRAS"	71	1	3	1	20.639805648394	0.103157894736842	3.02722152430905	0.986497529596353	1
"chr22gain"	"WT1"	68	0	7	1	Inf	0.105263157894737	Inf	0.977723605288847	1
"IDH2"	"TET2"	50	10	16	0	0	0.108503870111108	-Inf	0.964554771143346	1
"CBL"	"SF3B1"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"KIT"	"RUNX1"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"ATM"	"t(8;21)"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"chr8gain"	"RUNX1"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"chr8gain"	"KIT"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
"inv(16)"	"SF3B1"	71	2	2	1	15.7571427413985	0.115277382645804	2.75729376985863	0.938255892667599	1
