A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
SETBP1	t(8;21)	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	t(8;21)	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	t(15;17)	174	6	2	0	<-3	1.000	1.000	Mutual exclusivity
t(8;21)	t(15;17)	174	6	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	chr5qdel	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	chr11qdel	174	6	2	0	<-3	1.000	1.000	Mutual exclusivity
t(8;21)	chr11qdel	174	6	2	0	<-3	1.000	1.000	Mutual exclusivity
chr5qdel	chr11qdel	174	6	2	0	<-3	1.000	1.000	Mutual exclusivity
CSF3R	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
MAP2K1	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
SETBP1	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
PTEN	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
CDKN2A	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
t(15;17)	chr21gain	174	2	6	0	<-3	1.000	1.000	Mutual exclusivity
NF1	RAD21	168	9	5	0	<-3	1.000	1.000	Mutual exclusivity
NF1	ZRSR2	168	9	5	0	<-3	1.000	1.000	Mutual exclusivity
NF1	JAK2	168	9	5	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
MYD88	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
NOTCH2	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
U2AF2	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
GATA2	SMC1A	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	RIT1	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	ABL1	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	BRINP3	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	PRPF40B	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	POT1	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	FBXW7	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	IL7R	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	TBL1XR1	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
SMC1A	SF1	175	6	1	0	<-3	1.000	1.000	Mutual exclusivity
BIRC3	t(8;21)	175	1	6	0	<-3	1.000	1.000	Mutual exclusivity
