A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
RUNX1	RIT1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	ABL1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	ABL1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	BRINP3	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	BRINP3	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	PRPF40B	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	PRPF40B	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	POT1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	POT1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	FBXW7	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	FBXW7	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	IL7R	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	IL7R	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	TBL1XR1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	TBL1XR1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	SF1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	SF1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	t(16;16)	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
